Bike Name,Price,Model Year,Mileage,City
Honda CD 70  2019 ,PKR 1.1 lacs,2019,"45,000 km",Lahore
Honda CG 125  2024 ,PKR 1.9 lacs,2024,"14,000 km",Bahawalpur
Honda CG 125  2024 ,PKR 2.2 lacs,2024,"2,000 km",Khanewal
Hi Speed CDI SR-70CC EURO-2  2021 ,"PKR 64,000",2021,"30,000 km",Karachi
Honda CD 70  2007 ,"PKR 42,000",2007,1 km,Lahore
Super Power SP 70  2019 ,"PKR 50,000",2019,"12,300 km",Karachi
Hi Speed SR 200  2024 ,PKR 5.3 lacs,2024,"10,000 km",Lahore
Chinese Bikes Other  2025 ,PKR 7 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 7 lacs,2025,1 km,Rawalpindi
Super Star 200R  2025 ,PKR 8 lacs,2025,1 km,Rawalpindi
Super Star 200R  2025 ,PKR 8 lacs,2025,1 km,Rawalpindi
Super Star 200R  2025 ,PKR 8 lacs,2025,1 km,Rawalpindi
Road Prince 250  2025 ,PKR 11 lacs,2025,1 km,Rawalpindi
Road Prince 150 Wego  2025 ,PKR 4.5 lacs,2025,1 km,Rawalpindi
Road Prince 150 Wego  2025 ,PKR 4.5 lacs,2025,1 km,Rawalpindi
Ducati Other  2025 ,PKR 13 lacs,2025,1 km,Rawalpindi
Ducati Other  2025 ,PKR 13 lacs,2025,1 km,Rawalpindi
Zongshen 400  2025 ,PKR 14.5 lacs,2025,1 km,Rawalpindi
Honda Pridor  2016 ,"PKR 78,000",2016,"20,000 km",Lahore
United US 70  2015 ,"PKR 37,000",2015,"12,000 km",Faisalabad
Super Power SP 70  2021 ,"PKR 60,000",2021,"20,000 km",Karachi
Honda Pridor  2011 ,"PKR 87,900",2011,"20,000 km",Peshawar
Honda CD 70  2024 ,PKR 1.5 lacs,2024,"8,500 km",Islamabad
Super Star CD 70  2017 ,"PKR 42,000",2017,"20,000 km",Karachi
Honda CG 125  2005 ,"PKR 70,000",2005,"20,000 km",Karachi
Honda CG 125  2019 ,PKR 2 lacs,2019,"5,000 km",Hyderabad
United US 70  2022 ,"PKR 65,000",2022,"10,000 km",Rawalpindi
Honda CB 150F  2017 ,PKR 2.25 lacs,2017,"30,000 km",Karachi
Honda CG 125  2017 ,PKR 1.02 lacs,2017,"10,000 km",Faisalabad
Honda CG 125  2011 ,PKR 1.32 lacs,2011,"100,000 km",Islamabad
Honda CG 125  2025 ,PKR 2.8 lacs,2025,"3,667 km",Mirpur khas
Suzuki Gixxer 150  1983 ,PKR 2.25 lacs,1983,"30,000 km",Karachi
Honda CG 125  2018 ,PKR 1.35 lacs,2018,"15,000 km",Gujar Khan
Honda CG 125  2022 ,PKR 1.51 lacs,2022,"21,000 km",Bahawalpur
Honda CG 125  2021 ,PKR 2.1 lacs,2021,"14,000 km",Gujar Khan
Bionic 70 cc  2022 ,PKR 1.1 lacs,2022,15 km,Jauharabad
Honda CG 125  2025 ,PKR 2.85 lacs,2025,"25,000 km",Kohat
Honda CG 125  2022 ,PKR 1.55 lacs,2022,"13,030 km",Pak pattan sharif
United US 70  2024 ,"PKR 81,500",2024,"15,000 km",Attock
Yamaha Royale YB 100  2010 ,"PKR 45,000",2010,"32,000 km",Karachi
Unique Xtreme UD 70  2025 ,PKR 1.13 lacs,2025,650 km,Karachi
Honda CG 125  2022 ,PKR 1.7 lacs,2022,"15,300 km",Gojra
Honda CG 125  2024 ,PKR 2.2 lacs,2024,"18,000 km",Sahiwal
Zongshen 400  2025 ,PKR 14.5 lacs,2025,1 km,Rawalpindi
BMW S1000RR  2015 ,PKR 57.5 lacs,2015,"10,655 km",Rawalpindi
Ducati Streetfighter S  2025 ,PKR 13 lacs,2025,1 km,Rawalpindi
Kawasaki GTO 100  1992 ,PKR 2.7 lacs,1992,"12,340 km",Islamabad
Metro T9  2025 ,PKR 1.5 lacs,2025,"6,700 km",Multan
Honda CG 125  2014 ,PKR 1.4 lacs,2014,"20,000 km",Lahore
Chinese Bikes Other  2025 ,PKR 1.7 lacs,2025,1 km,Islamabad
Suzuki GS 150 SE  2020 ,PKR 2.9 lacs,2020,"25,000 km",Multan
Yamaha YBR 125G  2023 ,PKR 3.65 lacs,2023,"7,500 km",Jhelum
Yamaha YBR 125  2020 ,PKR 3.2 lacs,2020,"39,000 km",Karachi
Ducati Panigale V4  2025 ,PKR 13 lacs,2025,1 km,Lahore
Yamaha YBR 125G  2022 ,PKR 3.49 lacs,2022,"28,000 km",Islamabad
Yamaha YBR 125  2017 ,PKR 3 lacs,2017,"100,000 km",Karachi
Honda CG 125  2018 ,PKR 1.1 lacs,2018,"15,000 km",Karachi
MS Jaguar Motorcycle E-125  2023 ,PKR 2.8 lacs,2023,334 km,Faisalabad
BMW F 700 GS  2014 ,PKR 35 lacs,2014,"20,000 km",Karachi
Honda CD 70  2022 ,"PKR 73,000",2022,"55,623 km",Wah cantt
Honda CG 125  2024 ,PKR 2.7 lacs,2024,"14,000 km",Sheikhupura
Honda CD 70  2022 ,PKR 1 lacs,2022,"17,185 km",Pasrur
Unique Xtreme UD 70  2021 ,"PKR 75,000",2021,"11,800 km",Wah cantt
Honda CG 125  2019 ,"PKR 65,500",2019,"35,000 km",Rawalpindi
Honda CG 125  2021 ,PKR 1.9 lacs,2021,"13,000 km",Bhakkar
Honda Gold Wing  2003 ,PKR 6.5 lacs,2003,"50,000 km",Lahore
Honda CG 125  2025 ,PKR 2.55 lacs,2025,700 km,Balakot
Honda CBR 1000RR  2023 ,Call,2023,1 km,Lahore
Honda CBR 600RR  2020 ,Call,2020,"6,600 km",Lahore
Harley Davidson Other  2015 ,Call,2015,350 km,Lahore
United US 70  2021 ,"PKR 70,000",2021,"1,500 km",Islamabad
Yamaha YBR 125  2022 ,PKR 4 lacs,2022,"2,500 km",Bhimber
Yamaha YBR 125  2018 ,PKR 2.55 lacs,2018,"12,000 km",Karachi
Honda CG 125  2023 ,PKR 2.15 lacs,2023,"16,000 km",Rawalpindi
Benelli TNT 600i  2021 ,PKR 22.5 lacs,2021,"15,000 km",Karachi
Honda CG 125  2020 ,PKR 1.46 lacs,2020,"60,000 km",Rawalpindi
Yamaha YBR 125  2017 ,PKR 2.35 lacs,2017,"41,000 km",Rawalpindi
Suzuki Inazuma  2019 ,PKR 9.5 lacs,2019,"35,000 km",Karachi
Suzuki GS 150 SE  2022 ,PKR 4.1 lacs,2022,"3,804 km",Karachi
Yamaha YBR 125  2018 ,PKR 2.35 lacs,2018,"54,000 km",Hangu
Lifan K19  2025 ,PKR 7.75 lacs,2025,1 km,Lahore
Taro GP 2  2025 ,PKR 8.5 lacs,2025,1 km,Lahore
Sigma Valentino 250  2025 ,PKR 8.5 lacs,2025,1 km,Lahore
Honda CG 125  2022 ,PKR 1.97 lacs,2022,"19,400 km",Karachi
Kawasaki Ninja 400  2024 ,PKR 7.5 lacs,2024,"4,000 km",Lahore
Honda CG 125  2022 ,PKR 1.6 lacs,2022,"35,000 km",Lahore
Honda CG 125  2023 ,PKR 2.1 lacs,2023,"4,720 km",Karachi
Suzuki GSX-R1000  2009 ,PKR 34.5 lacs,2009,"21,000 km",Islamabad
Crown CR 70 Jazba  2023 ,"PKR 90,000",2023,"13,500 km",Multan
BMW S1000RR  2023 ,Call,2023,"6,143 km",Lahore
Yamaha Other  2020 ,Call,2020,"5,886 km",Lahore
BMW S1000RR  2021 ,Call,2021,"1,612 km",Lahore
Honda CD 200   1981 ,PKR 4.5 lacs,1981,"65,000 km",Karachi
Road Prince 70 Passion Plus  2025 ,PKR 1.15 lacs,2025,20 km,Multan
Honda Pridor  2019 ,PKR 1.35 lacs,2019,"40,000 km",Lahore
Honda CG 125S GOLD  2024 ,PKR 2.4 lacs,2024,1 km,Hyderabad
Honda CG 125  2025 ,PKR 2.62 lacs,2025,"2,000 km",Multan
Ravi Piaggio Storm 125  2014 ,"PKR 80,000",2014,"64,000 km",Lahore
Honda CD 70  2017 ,"PKR 85,000",2017,"100,000 km",Karachi
Unique UD 100  2019 ,"PKR 85,000",2019,"50,000 km",Karachi
Yadea T5  2024 ,PKR 2.3 lacs,2024,"4,200 km",Multan
Suzuki GS 150 SE  2017 ,PKR 2.5 lacs,2017,"14,750 km",Hyderabad
Hi Speed Infinity 150  2024 ,PKR 3.7 lacs,2024,"5,000 km",Islamabad
Yamaha YZF-R6  2009 ,PKR 20 lacs,2009,"19,999 km",Karachi
Honda CG 125  2024 ,PKR 2.4 lacs,2024,"8,980 km",Lahore
Honda CG 125  2022 ,PKR 2.05 lacs,2022,"24,398 km",Lahore
United US 70  2020 ,"PKR 54,000",2020,"10,000 km",Islamabad
Unique Xtreme UD 70  2020 ,"PKR 70,000",2020,"38,000 km",Karachi
Yamaha YBR 125  2022 ,PKR 3.5 lacs,2022,"6,000 km",Islamabad
OVERDRIVE Raptor 300  2022 ,PKR 13 lacs,2022,"9,000 km",Islamabad
Suzuki GSX-R600  2009 ,PKR 16 lacs,2009,"25,000 km",Karachi
Honda CG 125  2016 ,"PKR 85,000",2016,"20,000 km",Lahore
United US 100  2025 ,PKR 1.07 lacs,2025,"3,000 km",Islamabad
Unique UD 100  2018 ,"PKR 60,000",2018,40 km,Karachi
Honda CD 70  2023 ,PKR 1.22 lacs,2023,"18,000 km",Lahore
Suzuki GR 150  2022 ,PKR 4.4 lacs,2022,"3,900 km",Karachi
Super Power SP 70  2018 ,"PKR 50,000",2018,"30,000 km",Haripur
Super Asia SA 70  2025 ,PKR 1 lacs,2025,50 km,Lahore
Suzuki GS 150 SE  2022 ,PKR 4.35 lacs,2022,"16,000 km",Rawalpindi
Suzuki GS 150  2021 ,PKR 2.99 lacs,2021,"31,976 km",Okara
Honda CG 125  2022 ,PKR 1.65 lacs,2022,"22,130 km",Lahore
KEEWAY K-Light   2019 ,PKR 6 lacs,2019,"4,000 km",Karachi
Yamaha YBR 125  2023 ,PKR 4 lacs,2023,"12,000 km",Karachi
Yamaha YZF-R6  2025 ,PKR 11.5 lacs,2025,400 km,Pano Aqil
United US Scooty 100  2025 ,PKR 2.35 lacs,2025,650 km,Lahore
Evee Mito  2025 ,PKR 1.31 lacs,2025,100 km,Lahore
Evee Gen-Z  2025 ,PKR 1.77 lacs,2025,100 km,Lahore
Honda CB 125F  2020 ,PKR 2.4 lacs,2020,"21,000 km",Rawalpindi
Super Star Falcon 150 cc  2024 ,PKR 3.75 lacs,2024,"4,200 km",Lahore
Super Power SP 70  2018 ,"PKR 50,000",2018,"30,000 km",Haripur
Honda CG 125  2022 ,PKR 1.65 lacs,2022,"18,000 km",Lahore
Yamaha YBR 125  2021 ,PKR 2.93 lacs,2021,"10,000 km",Lahore
Honda CG 125  2025 ,PKR 1.45 lacs,2025,"1,200 km",Faisalabad
Yamaha YBR 125G  2023 ,PKR 3.75 lacs,2023,"11,900 km",Rawalpindi
Honda CD 70  2019 ,PKR 1.1 lacs,2019,"32,800 km",Faisalabad
Vespa  PIAGGIO  1978 ,"PKR 34,000",1978,"12,000 km",Lahore
Honda CG 125  2024 ,PKR 2.4 lacs,2024,"7,000 km",Sahiwal
Honda CG 125  2023 ,PKR 1.72 lacs,2023,"10,170 km",Sadiqabad
United US 70  2025 ,PKR 1 lacs,2025,"6,000 km",Lahore
Suzuki GD 110S  2022 ,PKR 3.1 lacs,2022,"20,000 km",Multan
Honda CG 125  2024 ,PKR 2.3 lacs,2024,"3,000 km",Panjgoor
Yamaha YBR 125G  2020 ,PKR 3.1 lacs,2020,"24,000 km",Rawalpindi
Kawasaki Ninja 250R  2021 ,PKR 5.25 lacs,2021,"7,500 km",Sargodha
Honda CB 150F  2024 ,PKR 4.75 lacs,2024,"21,000 km",Gujrat
BMW S1000RR  2015 ,PKR 61 lacs,2015,"22,000 km",Rawalpindi
Honda CG 125  2024 ,PKR 2.45 lacs,2024,"5,000 km",Karachi
Unique UD 125  2016 ,"PKR 72,000",2016,"10,000 km",Karachi
Honda CG 125  2023 ,PKR 2 lacs,2023,"10,000 km",Rawalpindi
DYL Junoon YD-100  2012 ,"PKR 35,000",2012,"86,573 km",Karachi
Honda CD 70  2022 ,PKR 1.15 lacs,2022,"12,000 km",Faisalabad
Safari SD 70  2024 ,"PKR 92,000",2024,"1,500 km",Attock
Lifan 250  2023 ,PKR 6.6 lacs,2023,"2,254 km",Lahore
Honda CD 70  2024 ,PKR 1.45 lacs,2024,"4,000 km",Jhelum
Honda CG 125  1985 ,"PKR 65,000",1985,360 km,Karachi
Chinese Bikes Other  2025 ,PKR 1.85 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 1.85 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 1.85 lacs,2025,1 km,Rawalpindi
Taro GP One 380cc  2025 ,PKR 14.5 lacs,2025,1 km,Lahore
Taro GP 2  2025 ,PKR 8.25 lacs,2025,1 km,Lahore
Taro GP 2  2025 ,PKR 8.25 lacs,2025,1 km,Lahore
Chinese Bikes Other  2025 ,PKR 2.46 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.46 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.46 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.68 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.68 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.78 lacs,2025,1 km,Rawalpindi
Chinese Bikes 125  2008 ,"PKR 50,000",2008,"30,000 km",Karachi
Suzuki GS 150 SE  2022 ,PKR 4.5 lacs,2022,"1,450 km",Sialkot
Honda CG 125  2021 ,PKR 1.85 lacs,2021,"8,700 km",Muzaffar Gargh
Suzuki GS 150 SE  2022 ,PKR 3.4 lacs,2022,"16,000 km",Islamabad
Yamaha YBR 125  2017 ,PKR 2.4 lacs,2017,"10,000 km",Rawalpindi
Honda CG 125S  2024 ,PKR 2.45 lacs,2024,"6,000 km",Lahore
Honda CG 125  2024 ,PKR 2.5 lacs,2024,"7,400 km",Faisalabad
Blue Star Other  2025 ,PKR 2.6 lacs,2025,1 km,Karachi
Honda CD 70  2023 ,PKR 1.35 lacs,2023,"18,000 km",Rawalpindi
Honda CD 70  2020 ,"PKR 90,000",2020,"5,000 km",Karachi
Suzuki 100  2019 ,PKR 2.25 lacs,2019,"18,000 km",Lahore
Road Prince RP 70  2017 ,"PKR 35,000",2017,"5,083 km",Lahore
Kawasaki GTO 110  1989 ,PKR 1.75 lacs,1989,"10,000 km",Burewala
QINGQI Electric bike sporty  2023 ,"PKR 50,000",2023,40 km,Multan
Pakzon Electric PE-70D  2023 ,PKR 1.3 lacs,2023,"10,817 km",Swabi
Honda CG 125  2025 ,PKR 2.6 lacs,2025,"2,000 km",Islamabad
Honda CD 70  2022 ,PKR 1.32 lacs,2022,"6,661 km",Karachi
Honda CG 125  2017 ,PKR 1.35 lacs,2017,"40,000 km",Karachi
Honda Pridor  2014 ,"PKR 80,000",2014,60 km,Pak pattan sharif
Honda CG 125  2021 ,PKR 1.65 lacs,2021,"15,000 km",Karachi
Honda CG 125  2024 ,PKR 2.1 lacs,2024,"8,000 km",Karachi
United US 70  2024 ,PKR 1.05 lacs,2024,"7,000 km",Islamabad
Honda CD 70  2018 ,"PKR 45,000",2018,"300,000 km",Bahawalpur
Honda CD-100  2023 ,PKR 1.55 lacs,2023,"16,000 km",Karachi
Aprilia Other  2013 ,"PKR 60,000",2013,"50,000 km",Rahim Yar Khan
Chinese Bikes Other  2025 ,PKR 2.78 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.56 lacs,2025,1 km,Rawalpindi
Honda CD 70  2022 ,PKR 1.4 lacs,2022,"33,000 km",Lahore
Chinese Bikes Other  2025 ,PKR 2.56 lacs,2025,1 km,Rawalpindi
Chinese Bikes Other  2025 ,PKR 2.48 lacs,2025,1 km,Rawalpindi
